ISO2,Continent
AD,EU
AE,AS
AF,AS
AG,AN
AI,AN
AL,EU
AM,AS
AN,AN
AO,AF
AP,AS
AQ,AN
AR,SA
AS,OC
AT,EU
AU,OC
AW,AN
AX,EU
AZ,AS
BA,EU
BB,AN
BD,AS
BE,EU
BF,AF
BG,EU
BH,AS
BI,AF
BJ,AF
BL,AN
BM,AN
BN,AS
BO,SA
BR,SA
BS,AN
BT,AS
BV,AN
BW,AF
BY,EU
BZ,AN
CA,AN
CC,AS
CD,AF
CF,AF
CG,AF
CH,EU
CI,AF
CK,OC
CL,SA
CM,AF
CN,AS
CO,SA
CR,AN
CU,AN
CV,AF
CX,AS
CY,AS
CZ,EU
DE,EU
DJ,AF
DK,EU
DM,AN
DO,AN
DZ,AF
EC,SA
EE,EU
EG,AF
EH,AF
ER,AF
ES,EU
ET,AF
EU,EU
FI,EU
FJ,OC
FK,SA
FM,OC
FO,EU
FR,EU
FX,EU
GA,AF
GB,EU
GD,AN
GE,AS
GF,SA
GG,EU
GH,AF
GI,EU
GL,AN
GM,AF
GN,AF
GP,AN
GQ,AF
GR,EU
GS,AN
GT,AN
GU,OC
GW,AF
GY,SA
HK,AS
HM,AN
HN,AN
HR,EU
HT,AN
HU,EU
ID,AS
IE,EU
IL,AS
IM,EU
IN,AS
IO,AS
IQ,AS
IR,AS
IS,EU
IT,EU
JE,EU
JM,AN
JO,AS
JP,AS
KE,AF
KG,AS
KH,AS
KI,OC
KM,AF
KN,AN
KP,AS
KR,AS
KW,AS
KY,AN
KZ,AS
LA,AS
LB,AS
LC,AN
LI,EU
LK,AS
LR,AF
LS,AF
LT,EU
LU,EU
LV,EU
LY,AF
MA,AF
MC,EU
MD,EU
ME,EU
MF,AN
MG,AF
MH,OC
MK,EU
ML,AF
MM,AS
MN,AS
MO,AS
MP,OC
MQ,AN
MR,AF
MS,AN
MT,EU
MU,AF
MV,AS
MW,AF
MX,AN
MY,AS
MZ,AF
AN,AF
NC,OC
NE,AF
NF,OC
NG,AF
NI,AN
NL,EU
NO,EU
NP,AS
NR,OC
NU,OC
NZ,OC
O1,--
OM,AS
PA,AN
PE,SA
PF,OC
PG,OC
PH,AS
PK,AS
PL,EU
PM,AN
PN,OC
PR,AN
PS,AS
PT,EU
PW,OC
PY,SA
QA,AS
RE,AF
RO,EU
RS,EU
RU,EU
RW,AF
SA,AS
SB,OC
SC,AF
SD,AF
SE,EU
SG,AS
SH,AF
SI,EU
SJ,EU
SK,EU
SL,AF
SM,EU
SN,AF
SO,AF
SR,SA
ST,AF
SV,AN
SY,AS
SZ,AF
TC,AN
TD,AF
TF,AN
TG,AF
TH,AS
TJ,AS
TK,OC
TL,AS
TM,AS
TN,AF
TO,OC
TR,EU
TT,AN
TV,OC
TW,AS
TZ,AF
UA,EU
UG,AF
UM,OC
US,AN
UY,SA
UZ,AS
VA,EU
VC,AN
VE,SA
VG,AN
VI,AN
VN,AS
VU,OC
WF,OC
WS,OC
YE,AS
YT,AF
ZA,AF
ZM,AF
ZW,AF
